Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS,
2016-17,NBA,Detroit Pistons,37,45,.451,5,-1.29,95.0,-1.4,106.0,-2.8,107.1,-1.7,,S. Van Gundy (37-45),T. Harris (6.8),
2015-16,NBA,Detroit Pistons,44,38,.537,3,0.43,95.1,-0.7,106.1,-0.3,105.5,-0.9,Lost E. Conf. 1st Rnd.,S. Van Gundy (44-38),A. Drummond (7.4),
2014-15,NBA,Detroit Pistons,32,50,.390,5,-1.39,92.8,-1.1,105.3,-0.3,106.4,0.8,,S. Van Gundy (32-50),A. Drummond (7.7),
2013-14,NBA,Detroit Pistons,29,53,.354,4,-4.13,94.9,1.0,105.9,-0.8,109.7,3.0,,M. Cheeks (21-29), J. Loyer (8-24),A. Drummond (9.9),
2012-13,NBA,Detroit Pistons,29,53,.354,4,-4.33,90.8,-1.2,103.8,-2.1,108.1,2.2,,L. Frank (29-53),G. Monroe (5.9),
2011-12,NBA,Detroit Pistons,25,41,.379,4,-5.19,89.2,-2.1,101.0,-3.6,106.3,1.7,,L. Frank (25-41),G. Monroe (7.0),
2010-11,NBA,Detroit Pistons,30,52,.366,4,-3.78,89.2,-2.9,107.7,0.4,111.7,4.4,,J. Kuester (30-52),G. Monroe (6.6),
2009-10,NBA,Detroit Pistons,27,55,.329,5,-5.02,88.5,-4.2,105.6,-2.0,111.4,3.8,,J. Kuester (27-55),B. Wallace (4.7),
2008-09,NBA,Detroit Pistons,39,43,.476,3,-0.36,86.7,-5.0,107.4,-0.9,108.0,-0.3,Lost E. Conf. 1st Rnd.,M. Curry (39-43),T. Prince (6.2),
2007-08,NBA,Detroit Pistons,59,23,.720,1,6.67,87.3,-5.1,111.4,3.9,102.9,-4.6,Lost E. Conf. Finals,F. Saunders (59-23),C. Billups (13.5),
