Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS,
2016-17,NBA,Golden State Warriors,67,15,.817,1,11.35,99.8,3.4,115.6,6.8,104.0,-4.8,Won Finals,S. Kerr (67-15),S. Curry (12.6),
2015-16,NBA,Golden State Warriors,73,9,.890,1,10.38,99.3,3.5,114.5,8.1,103.8,-2.6,Lost Finals,S. Kerr (73-9),S. Curry (17.9),
2014-15,NBA,Golden State Warriors,67,15,.817,1,10.01,98.3,4.4,111.6,6.0,101.4,-4.2,Won Finals,S. Kerr (67-15),S. Curry (15.7),
2013-14,NBA,Golden State Warriors,51,31,.622,2,5.15,96.2,2.3,107.5,0.8,102.6,-4.1,Lost W. Conf. 1st Rnd.,M. Jackson (51-31),S. Curry (13.4),
2012-13,NBA,Golden State Warriors,47,35,.573,2,1.32,94.5,2.5,106.4,0.5,105.5,-0.4,Lost W. Conf. Semis,M. Jackson (47-35),S. Curry (11.2),
2011-12,NBA,Golden State Warriors,23,43,.348,4,-2.79,92.3,1.0,105.4,0.8,109.1,4.5,,M. Jackson (23-43),D. Lee (5.0),
2010-11,NBA,Golden State Warriors,36,46,.439,3,-2.00,94.8,2.7,108.2,0.9,110.7,3.4,,K. Smart (36-46),S. Curry (6.6),
2009-10,NBA,Golden State Warriors,26,56,.317,4,-3.28,100.4,7.7,108.1,0.5,111.7,4.1,,D. Nelson (26-56),C. Maggette (6.3),
2008-09,NBA,Golden State Warriors,29,53,.354,3,-3.80,98.2,6.5,109.5,1.2,113.3,5.0,,D. Nelson (29-53),A. Biedrins (5.4),
2007-08,NBA,Golden State Warriors,48,34,.585,3,2.38,98.8,6.4,111.8,4.3,109.5,2.0,,D. Nelson (48-34),M. Ellis (9.0),
