Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS,
2016-17,NBA,Indiana Pacers,42,40,.512,3,-0.64,95.9,-0.5,108.6,-0.2,108.8,0.0,Lost E. Conf. 1st Rnd.,N. McMillan (42-40),J. Teague (8.1),
2015-16,NBA,Indiana Pacers,45,37,.549,2,1.62,96.6,0.8,104.6,-1.8,102.9,-3.5,Lost E. Conf. 1st Rnd.,F. Vogel (45-37),P. George (9.2),
2014-15,NBA,Indiana Pacers,38,44,.463,4,-0.23,93.2,-0.7,103.5,-2.1,103.2,-2.4,,F. Vogel (38-44),G. Hill (5.4),
2013-14,NBA,Indiana Pacers,56,26,.683,1,3.63,92.5,-1.4,104.1,-2.6,99.3,-7.4,Lost E. Conf. Finals,F. Vogel (56-26),P. George (10.8),
2012-13,NBA,Indiana Pacers,49,32,.605,1,3.34,90.2,-1.8,104.3,-1.6,99.8,-6.1,Lost E. Conf. Finals,F. Vogel (49-32),G. Hill (9.7),
2011-12,NBA,Indiana Pacers,42,24,.636,2,2.60,90.7,-0.6,106.7,2.1,103.1,-1.5,Lost E. Conf. Semis,F. Vogel (42-24),D. Granger (6.7),
2010-11,NBA,Indiana Pacers,37,45,.451,2,-1.38,94.7,2.6,104.8,-2.5,106.0,-1.3,Lost E. Conf. 1st Rnd.,J. O'Brien (17-27), F. Vogel (20-18),D. Granger (6.9),
2009-10,NBA,Indiana Pacers,32,50,.390,4,-3.11,97.1,4.4,103.7,-3.9,106.8,-0.8,,J. O'Brien (32-50),T. Murphy (7.8),
2008-09,NBA,Indiana Pacers,36,46,.439,4,-0.76,96.5,4.8,108.1,-0.2,109.2,0.9,,J. O'Brien (36-46),T. Murphy (8.5),
2007-08,NBA,Indiana Pacers,36,46,.439,3,-1.87,97.7,5.3,106.0,-1.5,107.5,0.0,,J. O'Brien (36-46),M. Dunleavy (8.5),
