Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS,
2016-17,NBA,Los Angeles Clippers,51,31,.622,2,4.42,96.1,-0.3,112.7,3.9,108.2,-0.6,Lost W. Conf. 1st Rnd.,D. Rivers (51-31),D. Jordan (11.8),
2015-16,NBA,Los Angeles Clippers,53,29,.646,2,4.13,95.8,0.0,108.3,1.9,103.8,-2.6,Lost W. Conf. 1st Rnd.,D. Rivers (53-29),C. Paul (12.7),
2014-15,NBA,Los Angeles Clippers,56,26,.683,2,6.80,94.7,0.8,112.4,6.8,105.5,-0.1,Lost W. Conf. Semis,D. Rivers (56-26),C. Paul (16.1),
2013-14,NBA,Los Angeles Clippers,57,25,.695,1,7.27,95.9,2.0,112.1,5.4,104.8,-1.9,Lost W. Conf. Semis,D. Rivers (57-25),B. Griffin (12.2),
2012-13,NBA,Los Angeles Clippers,56,26,.683,1,6.43,91.1,-0.9,110.6,4.7,103.6,-2.3,Lost W. Conf. 1st Rnd.,V. Del Negro (56-26),C. Paul (13.9),
2011-12,NBA,Los Angeles Clippers,40,26,.606,2,2.82,89.2,-2.1,108.5,3.9,105.7,1.1,Lost W. Conf. Semis,V. Del Negro (40-26),C. Paul (12.7),
2010-11,NBA,Los Angeles Clippers,32,50,.390,4,-2.71,92.8,0.7,105.3,-2.0,108.7,1.4,,V. Del Negro (32-50),B. Griffin (9.8),
2009-10,NBA,Los Angeles Clippers,29,53,.354,3,-6.01,92.6,-0.1,103.3,-4.3,110.1,2.5,,M. Dunleavy (21-28), K. Hughes (8-25),M. Camby (4.6),
2008-09,NBA,Los Angeles Clippers,19,63,.232,4,-8.47,92.1,0.4,102.3,-6.0,111.7,3.4,,M. Dunleavy (19-63),M. Camby (5.2),
2007-08,NBA,Los Angeles Clippers,23,59,.280,5,-6.56,92.1,-0.3,101.2,-6.3,109.1,1.6,,M. Dunleavy (23-59),C. Maggette (6.9),
