Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS,
2016-17,NBA,Los Angeles Lakers,26,56,.317,4,-6.29,98.5,2.1,106.0,-2.8,113.0,4.2,,L. Walton (26-56),L. Williams (4.9),
2015-16,NBA,Los Angeles Lakers,17,65,.207,5,-8.92,95.6,-0.2,101.6,-4.8,111.6,5.2,,B. Scott (17-65),L. Williams (4.7),
2014-15,NBA,Los Angeles Lakers,21,61,.256,5,-6.17,94.0,0.1,103.4,-2.2,110.6,5.0,,B. Scott (21-61),E. Davis (6.3),
2013-14,NBA,Los Angeles Lakers,27,55,.329,5,-5.33,98.7,4.8,104.2,-2.5,110.6,3.9,,M. D'Antoni (27-55),J. Meeks (4.5),
2012-13,NBA,Los Angeles Lakers,45,37,.549,3,1.48,94.4,2.4,107.8,1.9,106.6,0.7,Lost W. Conf. 1st Rnd.,M. Brown (1-4), B. Bickerstaff (4-1), M. D'Antoni (40-32),K. Bryant (10.9),
2011-12,NBA,Los Angeles Lakers,41,25,.621,1,1.96,90.5,-0.8,106.0,1.4,104.4,-0.2,Lost W. Conf. Semis,M. Brown (41-25),P. Gasol (8.3),
2010-11,NBA,Los Angeles Lakers,57,25,.695,1,6.01,90.7,-1.4,111.0,3.7,104.3,-3.0,Lost W. Conf. Semis,P. Jackson (57-25),P. Gasol (14.7),
2009-10,NBA,Los Angeles Lakers,57,25,.695,1,4.78,92.8,0.1,108.8,1.2,103.7,-3.9,Won Finals,P. Jackson (57-25),P. Gasol (11.0),
2008-09,NBA,Los Angeles Lakers,65,17,.793,1,7.11,94.3,2.6,112.8,4.5,104.7,-3.6,Won Finals,P. Jackson (65-17),P. Gasol (13.9),
2007-08,NBA,Los Angeles Lakers,57,25,.695,1,7.34,95.6,3.2,113.0,5.5,105.5,-2.0,Lost Finals,P. Jackson (57-25),K. Bryant (13.8),
