Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS,
2016-17,NBA,Memphis Grizzlies,43,39,.524,3,0.96,92.3,-4.1,107.7,-1.1,107.1,-1.7,Lost W. Conf. 1st Rnd.,D. Fizdale (43-39),M. Conley (10.0),
2015-16,NBA,Memphis Grizzlies,42,40,.512,3,-2.14,93.3,-2.5,105.4,-1.0,107.8,1.4,Lost W. Conf. 1st Rnd.,D. Joerger (42-40),M. Conley (5.3),
2014-15,NBA,Memphis Grizzlies,55,27,.671,2,3.62,92.0,-1.9,105.7,0.1,102.2,-3.4,Lost W. Conf. Semis,D. Joerger (55-27),M. Gasol (10.2),
2013-14,NBA,Memphis Grizzlies,50,32,.610,3,2.18,89.9,-4.0,106.3,-0.4,104.6,-2.1,Lost W. Conf. 1st Rnd.,D. Joerger (50-32),M. Conley (8.2),
2012-13,NBA,Memphis Grizzlies,56,26,.683,2,4.32,88.4,-3.6,104.9,-1.0,100.3,-5.6,Lost W. Conf. Finals,L. Hollins (56-26),M. Gasol (11.5),
2011-12,NBA,Memphis Grizzlies,41,25,.621,2,2.43,90.8,-0.5,104.0,-0.6,101.8,-2.8,Lost W. Conf. 1st Rnd.,L. Hollins (41-25),M. Gasol (8.2),
2010-11,NBA,Memphis Grizzlies,46,36,.561,4,2.55,91.9,-0.2,107.6,0.3,105.1,-2.2,Lost W. Conf. Semis,L. Hollins (46-36),Z. Randolph (10.5),
2009-10,NBA,Memphis Grizzlies,40,42,.488,4,-1.39,93.6,0.9,108.3,0.7,109.9,2.3,,L. Hollins (40-42),Z. Randolph (9.7),
2008-09,NBA,Memphis Grizzlies,24,58,.293,5,-5.23,90.1,-1.6,103.5,-4.8,109.5,1.2,,M. Iavaroni (11-30), J. Davis (0-2), L. Hollins (13-26),M. Gasol (6.4),
2007-08,NBA,Memphis Grizzlies,22,60,.268,5,-5.76,95.3,2.9,105.0,-2.5,111.4,3.9,,M. Iavaroni (22-60),M. Miller (5.0),
