Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS,
2016-17,NBA,Miami Heat,41,41,.500,3,0.77,95.2,-1.2,107.8,-1.0,106.7,-2.1,,E. Spoelstra (41-41),H. Whiteside (9.5),
2015-16,NBA,Miami Heat,48,34,.585,1,1.50,93.6,-2.2,106.1,-0.3,104.4,-2.0,Lost E. Conf. Semis,E. Spoelstra (48-34),H. Whiteside (10.3),
2014-15,NBA,Miami Heat,37,45,.451,3,-2.92,90.9,-3.0,103.9,-1.7,106.7,1.1,,E. Spoelstra (37-45),L. Deng (5.4),
2013-14,NBA,Miami Heat,54,28,.659,1,4.15,91.2,-2.7,110.9,4.2,105.8,-0.9,Lost Finals,E. Spoelstra (54-28),L. James (15.9),
2012-13,NBA,Miami Heat,66,16,.805,1,7.03,90.7,-1.3,112.3,6.4,103.7,-2.2,Won Finals,E. Spoelstra (66-16),L. James (19.3),
2011-12,NBA,Miami Heat,46,20,.697,1,5.72,91.2,-0.1,106.6,2.0,100.2,-4.4,Won Finals,E. Spoelstra (46-20),L. James (14.5),
2010-11,NBA,Miami Heat,58,24,.707,1,6.76,90.9,-1.2,111.7,4.4,103.5,-3.8,Lost Finals,E. Spoelstra (58-24),L. James (15.6),
2009-10,NBA,Miami Heat,47,35,.573,3,1.99,89.6,-3.1,106.6,-1.0,104.1,-3.5,Lost E. Conf. 1st Rnd.,E. Spoelstra (47-35),D. Wade (13.0),
2008-09,NBA,Miami Heat,43,39,.524,3,0.49,89.9,-1.8,107.8,-0.5,107.6,-0.7,Lost E. Conf. 1st Rnd.,E. Spoelstra (43-39),D. Wade (14.7),
2007-08,NBA,Miami Heat,15,67,.183,5,-8.53,90.2,-2.2,100.5,-7.0,110.0,2.5,,P. Riley (15-67),D. Wade (3.3),
