Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS,
2016-17,NBA,Milwaukee Bucks,42,40,.512,2,-0.45,94.5,-1.9,109.1,0.3,109.3,0.5,Lost E. Conf. 1st Rnd.,J. Kidd (42-40),G. Antetokounmpo (12.4),
2015-16,NBA,Milwaukee Bucks,33,49,.402,5,-3.98,94.2,-1.6,104.3,-2.1,108.7,2.3,,J. Kidd (33-49),G. Monroe (7.5),
2014-15,NBA,Milwaukee Bucks,41,41,.500,3,-0.09,94.1,0.2,102.7,-2.9,102.2,-3.4,Lost E. Conf. 1st Rnd.,J. Kidd (41-41),K. Middleton (6.7),
2013-14,NBA,Milwaukee Bucks,15,67,.183,5,-8.41,91.8,-2.1,103.0,-3.7,111.8,5.1,,L. Drew (15-67),J. Henson (3.3),
2012-13,NBA,Milwaukee Bucks,38,44,.463,3,-1.83,94.7,2.7,103.6,-2.3,105.2,-0.7,Lost E. Conf. 1st Rnd.,S. Skiles (16-16), J. Boylan (22-28),E. Ilyasova (6.7),
2011-12,NBA,Milwaukee Bucks,31,35,.470,3,-0.23,93.7,2.4,105.5,0.9,105.2,0.6,,S. Skiles (31-35),E. Ilyasova (6.4),
2010-11,NBA,Milwaukee Bucks,35,47,.427,3,-1.02,89.8,-2.3,101.6,-5.7,102.5,-4.8,,S. Skiles (35-47),A. Bogut (5.4),
2009-10,NBA,Milwaukee Bucks,46,36,.561,2,1.37,91.7,-1.0,104.9,-2.7,103.1,-4.5,Lost E. Conf. 1st Rnd.,S. Skiles (46-36),A. Bogut (7.5),
2008-09,NBA,Milwaukee Bucks,34,48,.415,5,-0.88,92.6,0.9,106.7,-1.6,107.9,-0.4,,S. Skiles (34-48),R. Jefferson (6.6),
2007-08,NBA,Milwaukee Bucks,26,56,.317,5,-6.92,91.3,-1.1,105.3,-2.2,112.8,5.3,,L. Krystkowiak (26-56),M. Redd (5.8),
