Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS,
2016-17,NBA,Minnesota Timberwolves,31,51,.378,5,-0.64,94.6,-1.8,110.8,2.0,112.0,3.2,,T. Thibodeau (31-51),K. Towns (12.7),
2015-16,NBA,Minnesota Timberwolves,29,53,.354,5,-3.38,95.2,-0.6,106.5,0.1,110.1,3.7,,S. Mitchell (29-53),K. Towns (8.3),
2014-15,NBA,Minnesota Timberwolves,16,66,.195,5,-8.00,94.4,0.5,102.9,-2.7,112.2,6.6,,F. Saunders (16-66),G. Dieng (4.9),
2013-14,NBA,Minnesota Timberwolves,40,42,.488,3,3.10,97.3,3.4,108.9,2.2,106.2,-0.5,,R. Adelman (40-42),K. Love (14.3),
2012-13,NBA,Minnesota Timberwolves,31,51,.378,5,-1.83,92.8,0.8,102.9,-3.0,105.4,-0.5,,R. Adelman (31-51),N. Pekovic (6.7),
2011-12,NBA,Minnesota Timberwolves,26,40,.394,5,-1.83,93.3,2.0,104.3,-0.3,106.6,2.0,,R. Adelman (26-40),K. Love (10.0),
2010-11,NBA,Minnesota Timberwolves,17,65,.207,5,-5.97,96.5,4.4,104.2,-3.1,111.1,3.8,,K. Rambis (17-65),K. Love (11.4),
2009-10,NBA,Minnesota Timberwolves,15,67,.183,5,-9.06,96.1,3.4,101.7,-5.9,111.6,4.0,,K. Rambis (15-67),K. Love (4.9),
2008-09,NBA,Minnesota Timberwolves,24,58,.293,4,-4.74,91.6,-0.1,106.1,-2.2,111.4,3.1,,R. Wittman (4-15), K. McHale (20-43),K. Love (5.3),
2007-08,NBA,Minnesota Timberwolves,22,60,.268,4,-6.26,91.9,-0.5,103.8,-3.7,111.2,3.7,,R. Wittman (22-60),A. Jefferson (7.7),
