Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS,
2016-17,NBA,New York Knicks,31,51,.378,3,-3.87,96.0,-0.4,107.7,-1.1,111.5,2.7,,J. Hornacek (31-51),C. Anthony (4.7),
2015-16,NBA,New York Knicks,32,50,.390,3,-2.74,93.4,-2.4,104.6,-1.8,107.6,1.2,,D. Fisher (23-31), K. Rambis (9-19),C. Anthony (6.4),
2014-15,NBA,New York Knicks,17,65,.207,5,-9.50,91.2,-2.7,99.9,-5.7,110.0,4.4,,D. Fisher (17-65),C. Anthony (2.9),
2013-14,NBA,New York Knicks,37,45,.451,3,-1.40,90.3,-3.6,108.3,1.6,109.1,2.4,,M. Woodson (37-45),C. Anthony (10.7),
2012-13,NBA,New York Knicks,54,28,.659,1,3.73,89.8,-2.2,111.1,5.2,106.3,0.4,Lost E. Conf. Semis,M. Woodson (54-28),C. Anthony (9.5),
2011-12,NBA,New York Knicks,36,30,.545,2,2.39,93.2,1.9,104.4,-0.2,101.0,-3.6,Lost E. Conf. 1st Rnd.,M. D'Antoni (18-24), M. Woodson (18-6),T. Chandler (9.5),
2010-11,NBA,New York Knicks,42,40,.512,2,0.48,95.6,3.5,110.9,3.6,110.1,2.8,Lost E. Conf. 1st Rnd.,M. D'Antoni (42-40),A. Stoudemire (8.0),
2009-10,NBA,New York Knicks,29,53,.354,3,-4.01,94.0,1.3,107.6,0.0,111.6,4.0,,M. D'Antoni (29-53),D. Lee (10.3),
2008-09,NBA,New York Knicks,32,50,.390,5,-2.33,96.7,5.0,108.1,-0.2,110.8,2.5,,M. D'Antoni (32-50),D. Lee (9.0),
2007-08,NBA,New York Knicks,23,59,.280,5,-6.55,91.6,-0.8,104.7,-2.8,111.9,4.4,,I. Thomas (23-59),D. Lee (7.4),
