Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS,
2016-17,NBA,Orlando Magic,29,53,.354,5,-6.61,96.8,0.4,103.7,-5.1,110.5,1.7,,F. Vogel (29-53),E. Payton (4.4),
2015-16,NBA,Orlando Magic,35,47,.427,5,-1.68,96.0,0.2,105.1,-1.3,106.8,0.4,,S. Skiles (35-47),E. Fournier (5.7),
2014-15,NBA,Orlando Magic,25,57,.305,5,-5.87,93.8,-0.1,101.6,-4.0,107.7,2.1,,J. Vaughn (15-37), J. Borrego (10-20),N. Vucevic (7.0),
2013-14,NBA,Orlando Magic,23,59,.280,5,-5.88,93.6,-0.3,101.7,-5.0,107.4,0.7,,J. Vaughn (23-59),A. Afflalo (5.3),
2012-13,NBA,Orlando Magic,20,62,.244,5,-7.12,92.2,0.2,101.6,-4.3,109.1,3.2,,J. Vaughn (20-62),N. Vucevic (5.7),
2011-12,NBA,Orlando Magic,37,29,.561,3,0.46,89.0,-2.3,105.0,0.4,104.1,-0.5,Lost E. Conf. 1st Rnd.,S. Van Gundy (37-29),R. Anderson (8.9),
2010-11,NBA,Orlando Magic,52,30,.634,2,4.92,91.2,-0.9,107.9,0.6,102.0,-5.3,Lost E. Conf. 1st Rnd.,S. Van Gundy (52-30),D. Howard (14.4),
2009-10,NBA,Orlando Magic,59,23,.720,1,7.12,92.0,-0.7,111.4,3.8,103.3,-4.3,Lost E. Conf. Finals,S. Van Gundy (59-23),D. Howard (13.2),
2008-09,NBA,Orlando Magic,59,23,.720,1,6.48,92.3,0.6,109.2,0.9,101.9,-6.4,Lost Finals,S. Van Gundy (59-23),D. Howard (13.8),
2007-08,NBA,Orlando Magic,52,30,.634,1,4.79,93.4,1.0,111.3,3.8,105.5,-2.0,Lost E. Conf. Semis,S. Van Gundy (52-30),D. Howard (12.9),
