Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS,
2016-17,NBA,Phoenix Suns,24,58,.293,5,-5.14,100.3,3.9,106.6,-2.2,112.2,3.4,,E. Watson (24-58),E. Bledsoe (5.3),
2015-16,NBA,Phoenix Suns,23,59,.280,4,-6.32,98.5,2.7,102.2,-4.2,109.0,2.6,,J. Hornacek (14-35), E. Watson (9-24),M. Teletovic (3.8),
2014-15,NBA,Phoenix Suns,39,43,.476,3,-0.38,96.3,2.4,105.3,-0.3,106.2,0.6,,J. Hornacek (39-43),E. Bledsoe (7.0),
2013-14,NBA,Phoenix Suns,48,34,.585,3,3.02,95.8,1.9,109.5,2.8,106.7,0.0,,J. Hornacek (48-34),G. Dragic (10.3),
2012-13,NBA,Phoenix Suns,25,57,.305,5,-5.75,93.4,1.4,101.2,-4.7,108.1,2.2,,A. Gentry (13-28), L. Hunter (12-29),G. Dragic (5.7),
2011-12,NBA,Phoenix Suns,33,33,.500,3,0.29,92.6,1.3,106.2,1.6,106.5,1.9,,A. Gentry (33-33),M. Gortat (7.6),
2010-11,NBA,Phoenix Suns,40,42,.488,2,-0.46,94.4,2.3,109.5,2.2,110.4,3.1,,A. Gentry (40-42),S. Nash (7.9),
2009-10,NBA,Phoenix Suns,54,28,.659,2,4.67,95.3,2.6,115.3,7.7,110.2,2.6,Lost W. Conf. Finals,A. Gentry (54-28),A. Stoudemire (10.7),
2008-09,NBA,Phoenix Suns,46,36,.561,2,1.62,96.0,4.3,113.6,5.3,111.6,3.3,,T. Porter (28-23), A. Gentry (18-13),S. O'Neal (7.8),
2007-08,NBA,Phoenix Suns,55,27,.671,2,5.14,96.7,4.3,113.3,5.8,108.1,0.6,Lost W. Conf. 1st Rnd.,M. D'Antoni (55-27),A. Stoudemire (14.6),
