Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS,
2016-17,NBA,Portland Trail Blazers,41,41,.500,3,-0.23,96.7,0.3,110.3,1.5,110.8,2.0,Lost W. Conf. 1st Rnd.,T. Stotts (41-41),D. Lillard (10.4),
2015-16,NBA,Portland Trail Blazers,44,38,.537,2,0.98,96.0,0.2,108.8,2.4,108.0,1.6,Lost W. Conf. Semis,T. Stotts (44-38),D. Lillard (9.2),
2014-15,NBA,Portland Trail Blazers,51,31,.622,1,4.41,94.2,0.3,108.2,2.6,103.7,-1.9,Lost W. Conf. 1st Rnd.,T. Stotts (51-31),D. Lillard (10.6),
2013-14,NBA,Portland Trail Blazers,54,28,.659,2,4.44,94.9,1.0,111.5,4.8,107.4,0.7,Lost W. Conf. Semis,T. Stotts (54-28),D. Lillard (9.6),
2012-13,NBA,Portland Trail Blazers,33,49,.402,4,-2.53,91.4,-0.6,105.8,-0.1,109.2,3.3,,T. Stotts (33-49),L. Aldridge (7.2),
2011-12,NBA,Portland Trail Blazers,28,38,.424,4,-0.22,91.2,-0.1,105.7,1.1,106.4,1.8,,N. McMillan (20-23), K. Canales (8-15),L. Aldridge (7.0),
2010-11,NBA,Portland Trail Blazers,48,34,.585,3,1.85,87.9,-4.2,108.8,1.5,107.1,-0.2,Lost W. Conf. 1st Rnd.,N. McMillan (48-34),L. Aldridge (11.1),
2009-10,NBA,Portland Trail Blazers,50,32,.610,3,3.18,87.7,-5.0,110.8,3.2,107.1,-0.5,Lost W. Conf. 1st Rnd.,N. McMillan (50-32),B. Roy (9.1),
2008-09,NBA,Portland Trail Blazers,54,28,.659,2,5.00,86.6,-5.1,113.9,5.6,107.8,-0.5,Lost W. Conf. 1st Rnd.,N. McMillan (54-28),B. Roy (13.5),
2007-08,NBA,Portland Trail Blazers,41,41,.500,3,-0.52,87.9,-4.5,107.3,-0.2,108.4,0.9,,N. McMillan (41-41),B. Roy (8.0),
