Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS,
2016-17,NBA,Sacramento Kings,32,50,.390,3,-3.29,94.9,-1.5,107.3,-1.5,111.3,2.5,,D. Joerger (32-50),D. Cousins (6.0),
2015-16,NBA,Sacramento Kings,33,49,.402,3,-2.32,100.0,4.2,106.0,-0.4,108.4,2.0,,G. Karl (33-49),D. Cousins (5.7),
2014-15,NBA,Sacramento Kings,29,53,.354,4,-3.07,95.4,1.5,105.3,-0.3,109.2,3.6,,M. Malone (11-13), T. Corbin (7-21), G. Karl (11-19),R. Gay (6.1),
2013-14,NBA,Sacramento Kings,28,54,.341,4,-2.08,94.4,0.5,105.7,-1.0,108.8,2.1,,M. Malone (28-54),D. Cousins (7.9),
2012-13,NBA,Sacramento Kings,28,54,.341,4,-4.26,93.6,1.6,106.2,0.3,111.4,5.5,,K. Smart (28-54),I. Thomas (5.0),
2011-12,NBA,Sacramento Kings,22,44,.333,5,-4.95,94.7,3.4,103.8,-0.8,109.8,5.2,,P. Westphal (2-5), K. Smart (20-39),I. Thomas (4.3),
2010-11,NBA,Sacramento Kings,24,58,.293,5,-4.80,95.2,3.1,103.5,-3.8,109.0,1.7,,P. Westphal (24-58),B. Udrih (7.2),
2009-10,NBA,Sacramento Kings,25,57,.305,5,-4.06,94.0,1.3,105.3,-2.3,109.9,2.3,,P. Westphal (25-57),B. Udrih (5.5),
2008-09,NBA,Sacramento Kings,17,65,.207,5,-8.60,94.2,2.5,105.5,-2.8,114.7,6.4,,R. Theus (6-18), K. Natt (11-47),K. Martin (4.7),
2007-08,NBA,Sacramento Kings,38,44,.463,4,-1.86,94.7,2.3,107.5,0.0,109.9,2.4,,R. Theus (38-44),K. Martin (8.4),
