Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS,
2016-17,NBA,San Antonio Spurs,61,21,.744,1,7.13,94.2,-2.2,111.1,2.3,103.5,-5.3,Lost W. Conf. Finals,G. Popovich (61-21),K. Leonard (13.6),
2015-16,NBA,San Antonio Spurs,67,15,.817,1,10.28,93.8,-2.0,110.3,3.9,99.0,-7.4,Lost W. Conf. Semis,G. Popovich (67-15),K. Leonard (13.7),
2014-15,NBA,San Antonio Spurs,55,27,.671,2,6.34,93.8,-0.1,108.5,2.9,102.0,-3.6,Lost W. Conf. 1st Rnd.,G. Popovich (55-27),T. Duncan (9.6),
2013-14,NBA,San Antonio Spurs,62,20,.756,1,8.00,95.0,1.1,110.5,3.8,102.4,-4.3,Won Finals,G. Popovich (62-20),K. Leonard (7.7),
2012-13,NBA,San Antonio Spurs,58,24,.707,1,6.67,94.2,2.2,108.3,2.4,101.6,-4.3,Lost Finals,G. Popovich (58-24),T. Parker (9.3),
2011-12,NBA,San Antonio Spurs,50,16,.758,1,7.28,92.9,1.6,110.9,6.3,103.2,-1.4,Lost W. Conf. Finals,G. Popovich (50-16),T. Parker (7.1),
2010-11,NBA,San Antonio Spurs,61,21,.744,1,5.86,92.3,0.2,111.8,4.5,105.6,-1.7,Lost W. Conf. 1st Rnd.,G. Popovich (61-21),M. Ginobili (9.9),
2009-10,NBA,San Antonio Spurs,50,32,.610,2,5.07,91.7,-1.0,110.0,2.4,104.5,-3.1,Lost W. Conf. Semis,G. Popovich (50-32),T. Duncan (10.9),
2008-09,NBA,San Antonio Spurs,54,28,.659,1,3.36,88.4,-3.3,108.5,0.2,104.3,-4.0,Lost W. Conf. 1st Rnd.,G. Popovich (54-28),T. Duncan (10.1),
2007-08,NBA,San Antonio Spurs,56,26,.683,2,5.10,88.8,-3.6,107.2,-0.3,101.8,-5.7,Lost W. Conf. Finals,G. Popovich (56-26),M. Ginobili (11.1),
