Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS,
2016-17,NBA,Toronto Raptors,51,31,.622,2,3.65,94.7,-1.7,112.3,3.5,107.8,-1.0,Lost E. Conf. Semis,D. Casey (51-31),K. Lowry (10.1),
2015-16,NBA,Toronto Raptors,56,26,.683,1,4.08,92.9,-2.9,110.0,3.6,105.2,-1.2,Lost E. Conf. Finals,D. Casey (56-26),K. Lowry (11.6),
2014-15,NBA,Toronto Raptors,49,33,.598,1,2.45,92.8,-1.1,111.0,5.4,107.7,2.1,Lost E. Conf. 1st Rnd.,D. Casey (49-33),J. Valanciunas (8.2),
2013-14,NBA,Toronto Raptors,48,34,.585,1,2.55,91.8,-2.1,108.8,2.1,105.3,-1.4,Lost E. Conf. 1st Rnd.,D. Casey (48-34),K. Lowry (11.7),
2012-13,NBA,Toronto Raptors,34,48,.415,5,-1.96,90.4,-1.6,105.9,0.0,107.5,1.6,,D. Casey (34-48),A. Johnson (7.3),
2011-12,NBA,Toronto Raptors,23,43,.348,4,-3.67,89.3,-2.0,100.8,-3.8,104.5,-0.1,,D. Casey (23-43),J. Calderon (5.1),
2010-11,NBA,Toronto Raptors,22,60,.268,5,-6.28,92.9,0.8,106.1,-1.2,112.9,5.6,,J. Triano (22-60),A. Johnson (5.6),
2009-10,NBA,Toronto Raptors,40,42,.488,2,-1.83,93.1,0.4,111.3,3.7,113.2,5.6,,J. Triano (40-42),C. Bosh (9.6),
2008-09,NBA,Toronto Raptors,33,49,.402,4,-2.54,92.0,0.3,107.0,-1.3,110.0,1.7,,S. Mitchell (8-9), J. Triano (25-40),C. Bosh (9.7),
2007-08,NBA,Toronto Raptors,41,41,.500,2,2.47,90.2,-2.2,110.2,2.7,107.0,-0.5,Lost E. Conf. 1st Rnd.,S. Mitchell (41-41),J. Calderon (10.2),
