Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS,
2016-17,NBA,Utah Jazz,51,31,.622,1,4.00,91.6,-4.8,109.6,0.8,105.3,-3.5,Lost W. Conf. Semis,Q. Snyder (51-31),R. Gobert (14.3),
2015-16,NBA,Utah Jazz,40,42,.488,3,1.84,91.0,-4.8,105.9,-0.5,103.9,-2.5,,Q. Snyder (40-42),G. Hayward (8.9),
2014-15,NBA,Utah Jazz,38,44,.463,3,0.71,90.4,-3.5,105.1,-0.5,104.9,-0.7,,Q. Snyder (38-44),R. Gobert (9.3),
2013-14,NBA,Utah Jazz,25,57,.305,5,-6.27,91.4,-2.5,103.5,-3.2,111.3,4.6,,T. Corbin (25-57),D. Favors (5.1),
2012-13,NBA,Utah Jazz,43,39,.524,3,0.30,90.9,-1.1,106.7,0.8,106.8,0.9,,T. Corbin (43-39),A. Jefferson (7.7),
2011-12,NBA,Utah Jazz,36,30,.545,3,0.92,91.4,0.1,106.8,2.2,106.1,1.5,Lost W. Conf. 1st Rnd.,T. Corbin (36-30),P. Millsap (7.8),
2010-11,NBA,Utah Jazz,39,43,.476,4,-1.44,91.0,-1.1,108.1,0.8,110.1,2.8,,J. Sloan (31-23), T. Corbin (8-20),A. Jefferson (7.8),
2009-10,NBA,Utah Jazz,53,29,.646,2,5.33,93.8,1.1,110.7,3.1,105.0,-2.6,Lost W. Conf. Semis,J. Sloan (53-29),D. Williams (10.3),
2008-09,NBA,Utah Jazz,48,34,.585,3,2.31,93.1,1.4,110.1,1.8,107.3,-1.0,Lost W. Conf. 1st Rnd.,J. Sloan (48-34),D. Williams (8.4),
2007-08,NBA,Utah Jazz,54,28,.659,1,6.86,93.2,0.8,113.8,6.3,106.5,-1.0,Lost W. Conf. Semis,J. Sloan (54-28),D. Williams (11.3),
